hours_sunshines,selection1_name,selection2_name
12.2,240,20
11.3,250,25.2
8.6,240,20.2
6,70,11.5
1.1,30,9.3
2.4,70,10
9.6,210,15.8
5.9,230,22.6
3.2,240,23.4
2,230,15.3
0,20,21.7
0.4,30,23.9
0.3,40,26.7
0,70,52.4
0,110,26.6
0.7,100,29.3
2.9,110,23.3
6,140,11.5
11.6,230,11.3
9.7,170,11.8
8.7,90,32.4
2,110,30
1.9,190,24.7
0.5,200,28.6
2.1,230,42.6
6.5,230,32.1
8,230,29.1
5.9,220,28.6
4.9,200,23.5
11.7,110,17.2
146.1,230,23.4
146.1,220,22.9
