ENVIRONMENTAL PROTECTION DEPARTMENT HONG KONG SPECIAL ADMINISTRATIVE REGION (CHINA) Hourly AQHI (June 2017),,,,,,,,,,,,,,,,,,,
Note:,,,,,,,,,,,,,,,,,,,
1. The EPD has been reporting AQHI for individual stations on an hourly basis since 30.12.2013,,,,,,,,,,,,,,,,,,,
2. Empty cells mean that AQHI data are not available for that period.,,,,,,,,,,,,,,,,,,,
3. The AQHI information is based on raw data taken directly from EPD's Air Quality Monitoring Network.,,,,,,,,,,,,,,,,,,,
"4. In case of station or equipment suspension due to maintenance, the data collection for calculation of AQHI at station will be affected, the data of a most similar station will then be adopted. Such AQHI will be marked with an asterisk (*).",,,,,,,,,,,,,,,,,,,
"			",,,,,,,,,,,,,,,,,,,
Date,Hour,Central/Western,Eastern,Kwun Tong,Sham Shui Po,Kwai Chung,Tsuen Wan,Tseung Kwan O,Yuen Long,Tuen Mun,Tung Chung,Tai Po,Sha Tin,Tap Mun,Causeway Bay,Central,Mong Kok,,
6/1/2017,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2.5625
,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3.125
,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3.375
,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3.0625
,5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3.0625
,6,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2.875
,7,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2.75
,8,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2.0625,2.5
,9,2,2,2,2,3,2,2,2,2,2,2,2,2,3,3,2,2.1875,2.3125
,10,2,2,3,2,3,2,2,2,2,2,2,2,2,4,3,2,2.3125,2.75
,11,2,2,3,2,3,2,2,2,2,2,2,2,2,4,3,2,2.3125,3.0625
,12,2,2,3,2,3,2,2,2,2,2*,2,2,2,4,3,2,2.333333333,2.25
,13,2,2,3,2,3,2,2,2,2,2*,2,2,*,4,3,3,2.428571429,2.6875
,14,2,2,3,2,3,2,2,2,2,2,2,2,*,4,3,3,2.4,3.125
,15,2,3,3,2,3,2,2,2,3,2,2,2,*,4,3,3,2.533333333,3.1875
,16,2,3,3,2,3,2,3,2,3,2,2,2,*,4,3,2,2.533333333,3.125
,17,2,3,3,2,3,2,3,2,2,2,2,2,2,3,3,3,2.4375,2.75
,18,2,2,3,2,3,2,3,2,2,2,2,2,2,3*,3,3,2.333333333,2.5625
,19,2,2,3,2,3,2,2,2,2,2,2,2,2,3*,3,2,2.2,2.875
